
20200818171138 Downloading START...[https://www.youtube.com/watch?v=YOJsKatW-Ts]
2020-08-20:22-17-53 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-17-59 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-17-59 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-20:22-17-59 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-18-01 | concurrent downloading END...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-20:22-18-42 | concurrent downloading END...[https://www.youtube.com/watch?v=InI8TdggKd0]
2020-08-20:22-18-53 | concurrent downloading END...[https://www.youtube.com/watch?v=YOJsKatW-Ts]
2020-08-20:22-41-50 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-41-50 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-41-50 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-20:22-41-55 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-41-55 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-41-55 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-20:22-45-57 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-45-57 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-45-57 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-20:22-46-02 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-46-02 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-46-03 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-20:22-46-37 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-46-37 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-46-37 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-20:22-46-42 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-20:22-46-42 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-20:22-46-42 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:00-07-17 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:00-07-17 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:00-07-17 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:00-07-27 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:00-07-27 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:00-07-27 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:00-10-15 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:00-10-15 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:00-10-15 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:00-10-19 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:00-10-20 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:00-10-20 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:00-12-49 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:00-12-49 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:00-12-49 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:00-12-53 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:00-12-53 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:00-12-54 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
=======

2020-08-21:06-20-13 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-20-13 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-20-13 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-20-19 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-20-19 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-20-19 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-21-52 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-21-52 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-21-52 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-21-57 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-21-57 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-21-57 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
